21,7.6056,4.2642,2.8421,3.1122
23,7.5707,1.9783,1.2042,1.5069
31,3.901,2.8752,2.3927,2.3502
72,4.3214,3.7753,3.5198,2.6382
89,6.1698,3.8555,3.2046,2.8343
120,5.9642,2.1374,1.662,1.5673
130,6.7346,3.8621,2.8643,2.2902
172,5.7519,2.6232,1.8604,1.67
186,5.0887,5.5774,5.2835,4.171
257,7.8513,3.1337,2.1151,2.4751
260,2.5951,2.447,2.0272,2.2086
295,6.7389,2.3845,0.84371,1.6187
298,3.1255,3.14,2.8837,2.7871
301,5.0869,2.3361,1.7449,1.0786
359,5.2601,2.9694,2.6318,2.4473
382,5.9596,3.9899,3.4309,2.7005
413,11.129,2.984,3.0081,3.298
419,4.8068,2.0107,2.2011,2.296
441,4.8165,2.4726,2.7552,2.506
610,9.478,3.6047,2.4142,1.8162
618,4.3171,4.284,3.7355,2.5313
685,10.566,5.5947,3.0478,5.0505
934,9.2191,3.5407,2.1741,1.5548
1232,4.1915,2.4335,1.9067,1.404
1261,15.264,4.1163,2.4907,2.4654
