21,3.9091,3.5684,3.0534
23,1.3879,1.2436,1.3616
31,2.6084,2.4785,2.3012
72,4.0794,3.7011,2.6031
89,4.4098,4.0237,2.975
120,2.2342,2.4802,1.7778
130,4.0246,3.3399,2.5889
172,1.9089,1.6259,1.8641
186,5.6522,5.4251,4.2509
257,2.1121,2.1325,2.17
260,2.0157,2.0029,2.1241
295,1.8083,1.179,1.5125
298,2.513,2.4276,2.909
301,2.299,1.8097,1.2014
359,3.4669,3.1679,2.2341
382,2.5321,2.2114,2.6039
413,3.9022,3.6312,3.1373
419,2.497,2.5507,1.9634
441,3.2137,3.5874,3.2114
610,2.4152,1.856,1.9549
618,3.5842,3.498,2.6427
685,5.0444,4.6936,4.4413
934,1.8445,2.0219,1.6702
1232,1.7565,1.5297,1.4134
1261,2.6757,2.2901,2.1642
