21,3.9091,3.5684,3.0534
23,1.3879,1.2436,1.3616
31,2.6084,2.4785,2.3012
51,3.1949,3.4044,5.8026
61,4.8425,4.3063,6.5442
72,4.0794,3.7011,2.6031
89,4.4098,4.0237,2.975
107,1.8399,1.9387,3.118
108,7.9244,8.064,8.806
112,2.6395,2.3913,3.2396
120,2.2342,2.4802,1.7778
123,3.1971,3.1659,4.3515
126,4.1374,4.3468,6.0822
127,2.2668,2.3995,2.1128
130,4.0246,3.3399,2.5889
135,3.9453,3.9854,3.9104
142,4.5812,3.9867,4.0498
150,4.0095,3.4739,3.1351
169,3.8664,3.6065,4.5076
172,1.9089,1.6259,1.8641
186,5.6522,5.4251,4.2509
200,4.648,4.6988,4.0063
214,4.3855,4.6665,7.5256
256,8.2087,8.8121,7.7533
257,2.1121,2.1325,2.17
259,3.372,3.4751,4.7376
260,2.0157,2.0029,2.1241
269,6.817,7.7582,11.374
276,3.4234,3.942,2.9143
295,1.8083,1.179,1.5125
298,2.513,2.4276,2.909
301,2.299,1.8097,1.2014
307,3.2515,3.1035,2.6847
331,3.3878,3.394,6.2105
359,3.4669,3.1679,2.2341
361,5.9238,4.439,6.0128
376,3.4899,3.7242,3.5736
378,6.8687,7.033,10.859
382,2.5321,2.2114,2.6039
384,4.9375,5.1869,5.6571
388,9.5657,6.5031,6.7044
413,3.9022,3.6312,3.1373
419,2.497,2.5507,1.9634
441,3.2137,3.5874,3.2114
454,3.8058,3.3895,4.0279
539,4.076,4.5286,5.5602
545,3.1709,2.7788,2.9518
546,5.0205,3.1257,3.6205
548,5.4974,5.5158,7.4683
610,2.4152,1.856,1.9549
618,3.5842,3.498,2.6427
626,3.8012,3.8809,3.5053
644,1.7727,1.9368,1.7105
649,7.3871,5.4123,5.2285
658,2.3264,2.4129,2.4863
668,2.9828,2.3754,1.7101
671,4.6692,4.5994,7.8176
679,2.6116,2.8172,2.6034
685,5.0444,4.6936,4.4413
698,4.9097,4.8608,6.0029
722,2.9481,2.9902,3.246
729,2.9176,2.7675,6.0924
741,4.0066,4.0466,3.8861
752,5.5241,3.8711,4.9587
778,3.8306,3.6388,4.7193
800,5.9869,3.625,3.7348
830,4.4048,2.9818,1.7051
835,3.2405,2.3449,2.8998
869,3.6375,4.1206,6.459
887,8.0601,8.3585,14.04
906,6.4766,6.3617,7.4357
919,3.5671,2.7705,2.8008
934,1.8445,2.0219,1.6702
952,6.6419,2.6586,4.1782
972,3.3251,3.3701,3.2036
984,9.2162,9.2681,11.186
985,3.5239,3.2708,4.5888
994,6.1468,5.2807,8.3932
1045,3.6894,3.3906,4.0535
1072,3.6221,2.9927,3.9826
1078,3.3764,3.2398,3.8602
1097,3.6341,3.2967,3.1186
1098,3.1518,2.8828,4.53
1122,4.0088,4.4213,4.5811
1123,3.9154,3.7144,5.7159
1155,4.4734,4.4411,3.9456
1186,5.5485,5.4342,5.3344
1187,3.607,3.8884,2.7874
1232,1.7565,1.5297,1.4134
1246,4.5933,4.1003,4.2114
1261,2.6757,2.2901,2.1642
1268,3.0081,3.1179,3.0642
1269,2.1517,2.2246,2.7919
1300,2.4543,2.4074,2.7871
1318,8.3253,8.1156,9.4211
1346,3.3785,3.4861,3.4064
1351,6.6428,6.0692,9.3958
1414,2.7188,3.5594,3.1501
1418,2.9022,2.7762,2.2785
1427,4.4124,4.2247,4.8218
