ID,base model error,source model error,adapted model error,target model error
61,0.8539153748789701,0.09284423846476052,0.053955129174186094,0.048883080771536025
62,0.5666409322834014,0.1024277663687911,0.08673859238841879,0.05936502047792101
63,0.6728359639644623,0.042661414172483855,0.043512845730090656,0.03996472213319431
64,0.6107887544313668,0.20156958771957978,0.13662936617111693,0.117968847241639
65,0.3277538720703125,0.1970654681215944,0.12034228166156873,0.07457716652406292
66,0.37848379304726915,0.1978673899803197,0.09291542469572471,0.07404683795382368
67,0.7374493359827996,0.10367373411554838,0.10895989515931809,0.0728113745667903
68,0.6718546445359124,0.11616041836845452,0.058106810697993665,0.042344329799833255
69,0.5178786775304212,0.14388734447505624,0.14403551483456542,0.11761016718843684
70,0.3260891567531824,0.28082191069327067,0.20842985109412462,0.11372943922113235
