ID,base model error,source model error,adapted model error,target model error
31,0.243302934114,0.0691233803519,0.038331277256,0.0491361246371
32,0.575120006168,0.0965230253843,0.0612642801612,0.0481341017499
33,0.333066605186,0.106024831261,0.0651352224484,0.0534645746847
34,0.359707373086,0.110906143758,0.0664379585639,0.077467454335
35,0.360576459904,0.0742838541529,0.0463640262015,0.0488489180159
36,0.273402776198,0.0906430867098,0.082577153803,0.0872052990463
37,0.820884781959,0.119565869637,0.0812509169204,0.0667042981336
38,0.258318063638,0.0628593271373,0.0607405851837,0.0806842343898
39,0.199084932915,0.0870787084337,0.0450729452459,0.0468784123219
40,0.163429803603,0.0570790537427,0.0391292968849,0.0336499900403
