51,6.3643,7.6958,6.5621,5.1705
61,10.799,8.2037,7.478,5.7947
108,10.995,14.038,10.172,8.5887
112,5.9427,7.166,6.2008,3.3877
123,5.3685,3.6035,2.8646,4.5225
126,2.9319,4.0895,4.2246,4.3719
135,3.9637,5.8728,3.8668,3.7849
142,5.8233,6.5432,4.1143,3.9726
214,9.137,8.9932,5.5398,6.645
256,11.137,15.395,9.3592,8.5157
259,6.043,4.4284,4.3283,5.0532
269,11.788,15.582,8.3346,9.803
276,7.0128,6.7844,4.9727,2.7681
331,5.1872,5.8128,5.1546,4.8412
361,5.6182,7.713,6.338,5.2683
376,7.8189,10.909,7.6196,3.6233
378,6.7989,10.815,8.9055,9.6391
388,5.8445,12.564,6.4955,6.4278
539,13.938,9.954,9.1216,5.3406
548,5.1311,7.2829,6.7511,7.1266
626,5.1882,5.428,4.9587,3.5617
649,5.5516,10.195,8.5246,6.0461
658,7.1305,7.7857,4.6058,2.4543
671,3.9335,5.5899,4.9214,5.8358
698,4.9363,7.4329,6.6003,5.2935
729,7.0047,7.5776,4.9919,5.403
752,14.628,13.205,4.6523,4.5179
778,5.6503,5.0517,4.5805,4.7148
830,8.9243,12.397,6.1846,1.9114
835,9.3504,9.4603,4.7356,2.8166
869,3.8557,3.9288,3.6097,5.3145
887,10.511,11.63,9.4601,9.8715
906,7.4352,9.9168,8.6301,6.9285
952,9.1533,13.646,7.2837,4.3806
972,6.4674,4.6127,4.422,3.2731
984,9.5095,10.573,10.232,8.9977
985,8.3008,5.9099,5.2086,4.5061
994,9.0438,8.8251,7.03,7.2323
1078,3.9562,4.4947,3.4718,2.8218
1097,2.8347,2.7953,2.8263,3.018
1098,5.1817,3.4653,3.1169,3.9565
1123,4.7499,4.928,4.6865,4.7222
1186,7.0748,6.4429,5.368,5.2412
1268,6.5786,5.9842,5.1467,3.8102
1318,13.058,13.815,8.8667,8.1412
1346,9.014,10.178,4.5591,3.1006
1351,9.0822,12.312,6.1975,8.0252
1427,7.5681,6.0748,4.582,5.878
