107,2.9023,2.2875,3.1246
127,2.5054,2.0386,2.124
150,6.5047,5.6717,3.1232
169,2.4963,2.9774,4.486
200,3.2897,4.2025,3.9736
307,2.7999,2.7684,2.6569
384,6.841,6.6206,5.6609
454,3.7536,3.5352,3.9529
545,3.1428,2.6885,2.9302
546,3.6208,3.3508,3.6468
644,2.6868,1.6799,1.6425
668,2.2879,2.0709,1.6874
679,2.4967,2.3094,2.5475
722,2.8411,2.1704,3.1799
741,4.8029,3.4415,3.8435
800,2.0933,2.2633,3.6881
919,2.4271,2.6232,2.7881
1045,5.1581,3.5505,4.0621
1072,2.2634,2.344,4.0218
1122,4.5502,4.4026,4.587
1155,3.5909,3.6617,3.8734
1187,3.6497,3.5378,2.7973
1246,3.3617,3.6539,4.1851
1269,1.731,1.8831,2.7609
1300,2.2378,2.54,2.7365
1414,3.9681,3.6636,3.1488
1418,4.1501,2.4875,2.3165
